iz,n_ivols,n_gal,r,r_min,r_max,dd
271,50,3575764,6.583178043631642,6.050728263871968,7.071067811865475,56783106
271,50,3575764,7.694025545415732,7.071067811865475,8.263468101607344,86665546
271,50,3575764,8.992143455351782,8.263468101607344,9.656943885009541,133064936
271,50,3575764,10.509267391980032,9.656943885009541,11.285402696730158,205503716
271,50,3575764,12.282098800029559,11.285402696730158,13.188469928365798,318903994
271,50,3575764,14.354115100628205,13.188469928365798,15.412453035619656,497317472
271,50,3575764,16.77562712713563,15.412453035619656,18.011468340559496,778690734
271,50,3575764,19.605218908541424,18.011468340559496,21.04875784751639,1224028386
271,50,3575764,22.91214210143445,21.04875784751639,24.598228114789016,1929960522
271,50,3575764,26.776686343896024,24.598228114789016,28.746248627616342,3050869732
271,50,3575764,31.292906534445592,28.746248627616342,33.59375343234238,4834211366
271,50,3575764,36.57061220849963,33.59375343234238,39.25869717097048,7673842050
271,50,3575764,42.738296242670785,39.25869717097048,45.87892527895176,12199768040
271,50,3575764,49.94602446272701,45.87892527895176,53.61552818691274,19422264422
271,50,3575764,58.369126240667626,53.61552818691274,62.65676114432542,30949884948
271,50,3575764,68.21225765123026,62.65676114432542,73.22262504643817,49350952060
271,50,3575764,79.71493214568635,73.22262504643817,85.57021973001949,78693191146
271,50,3575764,93.15844090453568,85.57021973001949,100.0,125533390832
271,100,7152230,0.5433695107327757,0.5,0.584315433076528,665354
271,100,7152230,0.6350064513268706,0.584315433076528,0.682849050662821,934404
271,100,7152230,0.7421660821918329,0.682849050662821,0.7979984775278846,1315948
271,100,7152230,0.8673650613130832,0.7979984775278846,0.9325656519822317,1845028
271,100,7152230,1.0135607165418277,0.9325656519822317,1.089825005620585,2597778
271,100,7152230,1.1845586864406479,1.089825005620585,1.2736031402736432,3650990
271,100,7152230,1.384358329966642,1.2736031402736432,1.4883719409532399,5142800
271,100,7152230,1.61784528844287,1.4883719409532399,1.73935739051409,7269476
271,100,7152230,1.8908623338134523,1.73935739051409,2.0326667338262,10326234
271,100,7152230,2.2098358503843327,2.0326667338262,2.3754370857518157,14743298
271,100,7152230,2.582770594727161,2.3754370857518157,2.7760090990142356,21214498
271,100,7152230,3.0187063862156513,2.7760090990142356,3.2441299178297704,30805830
271,100,7152230,3.5281133768542268,3.2441299178297704,3.7911903557864473,45146468
271,100,7152230,4.123623770854799,3.7911903557864473,4.430502069233829,66770804
271,100,7152230,4.8194839818589195,4.430502069233829,5.177621470661636,99669928
271,100,7152230,5.632749559365747,5.177621470661636,6.050728263871968,149894914
271,100,7152230,6.583167689922105,6.050728263871968,7.071067811865475,227197384
271,100,7152230,7.693995478526815,7.071067811865475,8.263468101607344,346687428
271,100,7152230,8.992137159742741,8.263468101607344,9.656943885009541,532228460
271,100,7152230,10.509194263969565,9.656943885009541,11.285402696730158,821907174
271,100,7152230,12.282151559844241,11.285402696730158,13.188469928365798,1275390832
271,100,7152230,14.354085311462748,13.188469928365798,15.412453035619656,1988833764
271,100,7152230,16.775581732364376,15.412453035619656,18.011468340559496,3114183978
271,100,7152230,19.60529788460529,18.011468340559496,21.04875784751639,4895249700
