iz,z,Mg_center,median_color,p16,p84
iz176,,-22.333333333333332,0.30522656,0.18901585936546328,0.393357138633728
iz176,,-22.076923076923077,0.3714621,0.24517085492610932,0.44818449974060054
iz176,,-21.82051282051282,0.36403972,0.19931640625,0.47215181589126587
iz176,,-21.564102564102566,0.39892292,0.19547734260559083,0.5208526253700256
iz176,,-21.307692307692307,0.41752344,0.19931927323341372,0.5499019622802734
iz176,,-21.05128205128205,0.45182627,0.19196445822715758,0.5971660923957824
iz176,,-20.794871794871796,0.32787925,0.16413536667823792,0.593624141216278
iz176,,-20.53846153846154,0.4152224,0.17012161195278167,0.6077617263793945
iz176,,-20.28205128205128,0.282268,0.1406824469566345,0.5994211792945862
iz176,,-20.025641025641026,0.2782615,0.14994361937046052,0.5839749932289123
iz176,,-19.76923076923077,0.2663948,0.1307768285274506,0.565705816745758
iz176,,-19.512820512820515,0.2693311,0.13700709402561187,0.5594165396690368
iz176,,-19.256410256410255,0.2624901,0.12474550992250442,0.5518976640701294
iz176,,-19.0,0.2225115,0.107323357462883,0.527704336643219
iz176,,-18.743589743589745,0.21472922,0.11154275685548783,0.5148645305633546
iz176,,-18.48717948717949,0.19842404,0.09710773557424544,0.5145831751823425
iz176,,-18.23076923076923,0.17883758,0.08857901811599732,0.4919292938709259
iz176,,-17.974358974358974,0.16214135,0.0783662587404251,0.46096407175064086
iz176,,-17.71794871794872,0.15610074,0.07484854966402053,0.4518471503257751
iz176,,-17.461538461538463,0.14843619,0.07043357372283936,0.4394835233688353
iz176,,-17.205128205128204,0.13671847,0.06557820588350297,0.4079311776161194
iz176,,-16.94871794871795,0.13380432,0.062273039370775225,0.4016478407382965
iz176,,-16.692307692307693,0.12713617,0.05626999199390411,0.3942464876174927
iz176,,-16.435897435897438,0.12111731,0.04947499468922615,0.38423924684524535
iz176,,-16.17948717948718,0.11444791,0.04595808327198029,0.378441367149353
iz176,,-15.923076923076923,0.1077898,0.04374562382698059,0.3647924423217773
iz176,,-15.666666666666668,0.10257608,0.04037845358252525,0.3684533047676084
iz176,,-15.410256410256412,0.10021533,0.03750465512275696,0.36060766577720643
iz176,,-15.153846153846153,0.09686206,0.03421188145875931,0.352877140045166
iz176,,-14.897435897435898,0.09184591,0.029637981578707694,0.35175079107284546
iz176,,-14.641025641025642,0.087124586,0.02571308270096779,0.345678448677063
iz176,,-14.384615384615387,0.083756596,0.02476994574069977,0.3435574817657471
iz176,,-14.128205128205128,0.07964145,0.02486272566020489,0.3404461669921875
iz207,,-23.871794871794872,nan,nan,nan
iz207,,-23.615384615384617,nan,nan,nan
iz207,,-23.358974358974358,0.07010294497013092,0.07010294497013092,0.07010294497013092
iz207,,-23.102564102564102,0.13886134326457977,-0.01825770258903503,0.2959803891181946
iz207,,-22.846153846153847,0.03428517282009125,-0.01661684960126877,0.12346756458282471
iz207,,-22.58974358974359,0.19408072531223297,0.07915692806243897,0.2968615674972534
iz207,,-22.333333333333332,0.22938938438892365,0.10580146014690399,0.3706808149814606
iz207,,-22.076923076923077,0.3175954222679138,0.2021948540210724,0.4626821434497833
iz207,,-21.82051282051282,0.4076334536075592,0.2483092439174652,0.5966284680366514
iz207,,-21.564102564102566,0.43327993154525757,0.26804955005645753,0.5620925092697143
iz207,,-21.307692307692307,0.4926869869232178,0.25387248516082767,0.6395148468017579
